month,sunspot,year
9,1981,1880
10,1333,1880
11,920,1880
12,919,1880
1,1127,1881
2,1489,1881
3,1595,1881
4,1549,1881
5,1350,1881
6,1815,1881
7,2384,1881
8,1809,1881
9,1595,1881
10,1995,1881
11,1645,1881
12,1466,1881
1,1396,1882
2,1947,1882
3,2072,1882
4,2873,1882
5,1988,1882
6,1357,1882
7,1408,1882
8,1253,1882
9,1730,1882
10,1835,1882
11,2531,1882
12,1297,1882
1,1879,1883
2,1314,1883
3,1326,1883
4,2462,1883
5,976,1883
6,2290,1883
7,2499,1883
8,1426,1883
9,1579,1883
10,2597,1883
11,2534,1883
12,2354,1883
1,2838,1884
2,2519,1884
3,2712,1884
4,2283,1884
5,2062,1884
6,1536,1884
7,1646,1884
8,1730,1884
9,1857,1884
10,1482,1884
11,1098,1884
12,1462,1884
1,1327,1885
2,2011,1885
3,1543,1885
4,1651,1885
5,2263,1885
6,2511,1885
7,2062,1885
8,1551,1885
9,1188,1885
10,1200,1885
11,928,1885
12,674,1885
1,927,1886
2,726,1886
3,1776,1886
4,1312,1886
5,953,1886
6,814,1886
7,938,1886
8,523,1886
9,642,1886
10,267,1886
11,10,1886
12,403,1886
1,318,1887
2,369,1887
3,131,1887
4,208,1887
5,621,1887
6,471,1887
7,724,1887
8,664,1887
9,223,1887
10,204,1887
11,206,1887
12,642,1887
1,394,1888
2,205,1888
3,243,1888
4,153,1888
5,218,1888
6,213,1888
7,95,1888
8,86,1888
9,263,1888
10,64,1888
11,322,1888
12,207,1888
1,25,1889
2,239,1889
3,207,1889
4,130,1889
5,74,1889
6,193,1889
7,292,1889
8,638,1889
9,195,1889
10,64,1889
11,5,1889
12,209,1889
1,164,1890
2,18,1890
3,158,1890
4,48,1890
5,148,1890
6,40,1890
7,360,1890
8,264,1890
9,516,1890
10,347,1890
11,287,1890
12,243,1890
1,419,1891
2,621,1891
3,321,1891
4,616,1891
5,1275,1891
6,1448,1891
7,1822,1891
8,1023,1891
9,1615,1891
10,1598,1891
11,1257,1891
12,1009,1891
1,2142,1892
2,2193,1892
3,1548,1892
4,2088,1892
5,2468,1892
6,2290,1892
7,2372,1892
8,3144,1892
9,1884,1892
10,2185,1892
11,1961,1892
12,2438,1892
1,2326,1893
2,2043,1893
3,2038,1893
4,2642,1893
5,2627,1893
6,2697,1893
7,2748,1893
8,4005,1893
9,2337,1893
10,2479,1893
11,2252,1893
12,2909,1893
1,2579,1894
2,2369,1894
3,1620,1894
4,2448,1894
5,3138,1894
6,2966,1894
7,3287,1894
8,2178,1894
9,1978,1894
10,2339,1894
11,1698,1894
12,1861,1894
1,1961,1895
2,1881,1895
3,1890,1895
4,2308,1895
5,2091,1895
6,2144,1895
7,1483,1895
8,2137,1895
9,1731,1895
10,2105,1895
11,1415,1895
12,2191,1895
1,899,1896
2,1665,1896
3,1611,1896
4,1313,1896
5,858,1896
6,1470,1896
7,1396,1896
8,844,1896
9,1840,1896
10,890,1896
11,1140,1896
12,1320,1896
1,1259,1897
2,822,1897
3,903,1897
4,930,1897
5,620,1897
6,339,1897
7,857,1897
8,677,1897
9,1444,1897
10,444,1897
11,251,1897
12,1031,1897
1,936,1898
2,1019,1898
3,1187,1898
4,436,1898
5,801,1898
6,668,1898
7,280,1898
8,974,1898
9,1045,1898
10,1065,1898
11,928,1898
12,391,1898
1,603,1899
2,257,1899
3,562,1899
4,425,1899
5,238,1899
6,614,1899
7,420,1899
8,91,1899
9,251,1899
10,403,1899
11,234,1899
12,326,1899
1,290,1900
2,382,1900
3,266,1900
4,480,1900
5,470,1900
6,363,1900
7,258,1900
8,132,1900
9,249,1900
10,401,1900
11,135,1900
12,9,1900
1,7,1901
2,67,1901
3,138,1901
4,0,1901
5,316,1901
6,174,1901
7,21,1901
8,31,1901
9,17,1901
10,116,1901
11,115,1901
12,0,1901
1,172,1902
2,0,1902
3,385,1902
4,0,1902
5,87,1902
6,43,1902
7,28,1902
8,70,1902
9,228,1902
10,505,1902
11,309,1902
12,33,1902
1,256,1903
2,477,1903
3,418,1903
4,782,1903
5,452,1903
6,489,1903
7,864,1903
8,894,1903
9,334,1903
10,1205,1903
11,1335,1903
12,1415,1903
1,979,1904
2,711,1904
3,1153,1904
4,1289,1904
5,1223,1904
6,1256,1904
7,1568,1904
8,1805,1904
9,903,1904
10,1680,1904
11,1140,1904
12,1694,1904
1,1698,1905
2,2401,1905
3,1753,1905
4,1179,1905
5,1487,1905
6,1470,1905
7,2263,1905
8,1824,1905
9,1650,1905
10,2440,1905
11,3217,1905
12,1722,1905
1,1411,1906
2,877,1906
3,1998,1906
4,1659,1906
5,1790,1906
6,1896,1906
7,3212,1906
8,1480,1906
9,1682,1906
10,553,1906
11,1167,1906
12,2007,1906
1,2368,1907
2,3029,1907
3,1881,1907
4,1578,1907
5,1330,1907
6,1211,1907
7,1541,1907
8,1682,1907
9,2550,1907
10,2027,1907
11,1845,1907
12,1467,1907
1,1215,1908
2,984,1908
3,889,1908
4,1728,1908
5,1265,1908
6,1443,1908
7,1223,1908
8,2807,1908
9,2608,1908
10,1002,1908
11,1366,1908
12,1226,1908
1,1759,1909
2,1305,1909
3,2054,1909
4,968,1909
5,1115,1909
6,679,1909
7,1109,1909
8,717,1909
9,1164,1909
10,1810,1909
11,1673,1909
12,1679,1909
1,819,1910
2,881,1910
3,663,1910
4,252,1910
5,688,1910
6,368,1910
7,438,1910
8,358,1910
9,787,1910
10,1188,1910
11,148,1910
12,179,1910
1,104,1911
2,253,1911
3,242,1911
4,495,1911
5,280,1911
6,67,1911
7,110,1911
8,124,1911
9,121,1911
10,82,1911
11,125,1911
12,69,1911
1,8,1912
2,0,1912
3,153,1912
4,135,1912
5,136,1912
6,124,1912
7,92,1912
8,9,1912
9,286,1912
10,142,1912
11,34,1912
12,198,1912
1,70,1913
2,81,1913
3,14,1913
4,28,1913
5,0,1913
6,0,1913
7,54,1913
8,7,1913
9,35,1913
10,96,1913
11,21,1913
12,117,1913
1,87,1914
2,74,1914
3,97,1914
4,520,1914
5,162,1914
6,343,1914
7,168,1914
8,239,1914
9,380,1914
10,254,1914
11,492,1914
12,692,1914
1,714,1915
2,1183,1915
3,1204,1915
4,1239,1915
5,1024,1915
6,2063,1915
7,2220,1915
8,2158,1915
9,1484,1915
10,1659,1915
11,1276,1915
12,1069,1915
1,1404,1916
2,1608,1916
3,2077,1916
4,2155,1916
5,2308,1916
6,2032,1916
7,1660,1916
8,1090,1916
9,1352,1916
10,1572,1916
11,1969,1916
12,1642,1916
1,2315,1917
2,2013,1917
3,2940,1917
4,2242,1917
5,3538,1917
6,3447,1917
7,3715,1917
8,4791,1917
9,3881,1917
10,2238,1917
11,2893,1917
12,4009,1917
1,2977,1918
2,1827,1918
3,2239,1918
4,2414,1918
5,2378,1918
6,1781,1918
7,3337,1918
8,3154,1918
9,2398,1918
10,2635,1918
11,2502,1918
12,1834,1918
1,1492,1919
2,2226,1919
3,2061,1919
4,1553,1919
5,2732,1919
6,3335,1919
7,2006,1919
8,2140,1919
9,1642,1919
10,1636,1919
11,1259,1919
12,1081,1919
1,1585,1920
2,1563,1920
3,2175,1920
4,444,1920
5,1031,1920
6,1162,1920
7,851,1920
8,594,1920
9,1089,1920
10,1538,1920
11,816,1920
12,928,1920
1,978,1921
2,791,1921
3,827,1921
4,971,1921
5,688,1921
6,1012,1921
7,1298,1921
8,707,1921
9,535,1921
10,563,1921
11,533,1921
12,630,1921
1,367,1922
2,738,1922
3,1696,1922
4,330,1922
5,247,1922
6,175,1922
7,338,1922
8,203,1922
9,140,1922
10,192,1922
11,221,1922
12,541,1922
1,140,1923
2,42,1923
3,101,1923
4,184,1923
5,99,1923
6,274,1923
7,110,1923
8,15,1923
9,397,1923
10,361,1923
11,300,1923
12,86,1923
1,15,1924
2,147,1924
3,56,1924
4,340,1924
5,644,1924
6,720,1924
7,872,1924
8,599,1924
9,754,1924
10,794,1924
11,675,1924
12,511,1924
1,170,1925
2,650,1925
3,558,1925
4,952,1925
5,1328,1925
6,1424,1925
7,1194,1925
8,1175,1925
9,1807,1925
10,2146,1925
11,1757,1925
12,3057,1925
1,2226,1926
2,1956,1926
3,1938,1926
4,1156,1926
5,1992,1926
6,2204,1926
7,1621,1926
8,1909,1926
9,1825,1926
10,2217,1926
11,1816,1926
12,2462,1926
1,2529,1927
2,2604,1927
3,2158,1927
4,2806,1927
5,2453,1927
6,1773,1927
7,1703,1927
8,1668,1927
9,2053,1927
10,1956,1927
11,2017,1927
12,1401,1927
1,2589,1928
2,2132,1928
3,2649,1928
4,2417,1928
5,2386,1928
6,2743,1928
7,3039,1928
8,2599,1928
9,2692,1928
10,1904,1928
11,1510,1928
12,1830,1928
1,2136,1929
2,1758,1929
3,1557,1929
4,1584,1929
5,1805,1929
6,2158,1929
7,2177,1929
8,2039,1929
9,1032,1929
10,1675,1929
11,2433,1929
12,3347,1929
1,2025,1930
2,1397,1930
3,1086,1930
4,1147,1930
5,1141,1930
6,863,1930
7,679,1930
8,773,1930
9,964,1930
10,1066,1930
11,1069,1930
12,800,1930
1,454,1931
2,1208,1931
3,931,1931
4,936,1931
5,762,1931
6,459,1931
7,540,1931
8,403,1931
9,570,1931
10,309,1931
11,562,1931
12,552,1931
1,374,1932
2,307,1932
3,348,1932
4,337,1932
5,554,1932
6,665,1932
7,299,1932
8,211,1932
9,119,1932
10,275,1932
11,245,1932
12,342,1932
1,380,1933
2,621,1933
3,313,1933
4,88,1933
5,99,1933
6,156,1933
7,88,1933
8,7,1933
9,153,1933
10,93,1933
11,18,1933
12,8,1933
1,106,1934
2,218,1934
3,132,1934
4,338,1934
5,612,1934
6,201,1934
7,287,1934
8,258,1934
9,120,1934
10,178,1934
11,260,1934
12,478,1934
1,578,1935
2,573,1935
3,716,1935
4,365,1935
5,847,1935
6,1371,1935
7,1052,1935
8,934,1935
9,1263,1935
10,1649,1935
11,1926,1935
12,1906,1935
1,1947,1936
2,2154,1936
3,2389,1936
4,2246,1936
5,1692,1936
6,2100,1936
7,1620,1936
8,2697,1936
9,2281,1936
10,2758,1936
11,3461,1936
