month,sunspot,year
12,2530,2002
1,2470,2003
2,1288,2003
3,1893,2003
4,1801,2003
5,1694,2003
6,2322,2003
7,2636,2003
8,2255,2003
9,1463,2003
10,2037,2003
11,2018,2003
12,1440,2003
1,1152,2004
2,1334,2004
3,1517,2004
4,1178,2004
5,1285,2004
6,1297,2004
7,1584,2004
8,1268,2004
9,831,2004
10,1487,2004
11,1305,2004
12,557,2004
1,966,2005
2,817,2005
3,761,2005
4,726,2005
5,1325,2005
6,1180,2005
7,1237,2005
8,1128,2005
9,664,2005
10,270,2005
11,539,2005
12,1274,2005
1,477,2006
2,132,2006
3,335,2006
4,906,2006
5,689,2006
6,418,2006
7,377,2006
8,400,2006
9,433,2006
10,323,2006
11,646,2006
12,422,2006
1,524,2007
2,298,2007
3,148,2007
4,101,2007
5,364,2007
6,362,2007
7,310,2007
8,186,2007
9,73,2007
10,27,2007
11,52,2007
12,313,2007
1,102,2008
2,61,2008
3,287,2008
4,86,2008
5,98,2008
6,101,2008
7,25,2008
8,15,2008
9,32,2008
10,89,2008
11,122,2008
12,26,2008
1,48,2009
2,38,2009
3,23,2009
4,23,2009
5,91,2009
6,88,2009
7,100,2009
8,0,2009
9,128,2009
10,148,2009
11,123,2009
12,334,2009
1,410,2010
2,525,2010
3,477,2010
4,237,2010
5,273,2010
6,406,2010
7,498,2010
8,607,2010
9,756,2010
10,730,2010
11,647,2010
12,449,2010
1,582,2011
2,829,2011
3,1731,2011
4,1633,2011
5,1289,2011
6,1110,2011
7,1358,2011
8,1568,2011
9,2340,2011
10,2729,2011
11,2901,2011
12,2263,2011
1,1807,2012
2,955,2012
3,1993,2012
4,1656,2012
5,2140,2012
6,1934,2012
7,2063,2012
8,1953,2012
9,1842,2012
10,1653,2012
11,1843,2012
12,1266,2012
1,1950,2013
2,1067,2013
3,1794,2013
4,2172,2013
5,2440,2013
6,1576,2013
7,1766,2013
8,2046,2013
9,1107,2013
10,2653,2013
11,2328,2013
12,2800,2013
