kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,52,1019.6,5.5,1.4,7.8,0,1016.4
0,57,1019.4,5.9,3.1,7.5,0,1016.2
0,59,1019.3,5.9,1.8,7,0,1016.1
0,68,1019.8,6.1,0.8,5.5,0,1016.5
0,66,1019.7,6,2.4,5.7,0,1016.4
0,67,1019.9,6.1,0.8,5.5,0,1016.6
0,72,1020.3,6.2,0.8,4.7,0,1017
0,59,1020.6,5.5,3.3,6,0,1017.3
0,47,1020.8,4.9,3.4,7.5,0.7,1017.6
0,44,1021.6,4.9,3.7,8.6,1,1018.4
0,38,1021.7,4.5,4,9.4,1,1018.5
0,33,1021,3.9,6.3,9.6,1,1017.8
0,30,1020.6,4,4.1,11.4,1,1017.4
0,35,1019.9,4.8,5.9,11.8,1,1016.7
0,36,1019.4,5.1,5.3,12.1,1,1016.2
0,39,1019.1,5.5,7.1,12.2,1,1015.9
0,35,1019.5,4.8,5.6,11.7,1,1016.3
0,40,1019.8,5.3,3.3,11.1,1,1016.6
0,44,1019.8,5.5,1.4,10.2,0.2,1016.6
0,43,1020.5,4.9,3,8.9,0,1017.3
0,46,1020.9,5.1,1.7,8.5,0,1017.7
0,49,1020.6,5.2,1.5,7.7,0,1017.4
0,56,1020.7,5.6,1.7,6.9,0,1017.5
0,62,1020.9,5.8,1.1,5.9,0,1017.6
0,61,1020.8,5.4,1.8,5.2,0,1017.5
0,64,1020.6,5.6,2,5,0,1017.3
0,69,1020.3,5.7,2.3,4.3,0,1017
0,72,1020.3,5.9,1.2,4,0,1017
0,70,1020,5.9,1.8,4.6,0,1016.7
0,74,1019.5,5.9,0.7,3.8,0,1016.2
0,78,1019.4,6.2,0.8,3.6,0,1016.1
0,78,1019.3,6.2,2.1,3.7,0,1016
0,68,1019.1,6.6,2,6.5,0.7,1015.9
0,57,1019.4,7,3.2,10,1,1016.2
0,42,1019.3,6.3,2.3,13,1,1016.1
0,37,1018.9,5.9,3,14,1,1015.7
0,31,1018.1,5.6,1.8,15.9,1,1015
0,29,1017.2,5.4,2.9,16.5,1,1014.1
0,31,1016.5,5.7,1.9,16.3,0.9,1013.4
0,28,1016,5.4,3.7,17,1,1012.9
0,34,1016,6.2,5.3,16,1,1012.9
0,38,1015.6,6.5,4,15,1,1012.5
0,44,1015.8,7,3.2,13.9,0,1012.7
0,49,1016.2,7.3,4,12.9,0,1013
0,52,1016.4,7.3,4,12.1,0,1013.2
0,55,1016.5,7.5,2.7,11.6,0,1013.3
0,53,1016.6,7.2,4.6,11.5,0,1013.4
0,54,1016.4,7.1,4.3,11,0,1013.2
0,51,1015.8,6.8,5.1,11.2,0,1012.6
0,58,1015.4,7.1,2.5,10,0,1012.2
0,53,1015.1,6.9,5.2,10.9,0,1011.9
0,57,1014.5,7.1,4.2,10.3,0,1011.3
0,61,1013.6,7.1,4.3,9.3,0,1010.4
0,66,1012.9,7.1,2.2,8.1,0,1009.7
0,68,1012.1,7.4,2.5,8.3,0,1008.9
0,63,1011.1,7.4,2.8,9.3,0,1007.9
0,61,1010.2,7.6,6.2,10.2,0,1007
0,62,1009.1,7.7,4.2,10.2,0,1005.9
0,68,1007.4,9,8.9,11.2,0,1004.2
0,71,1005.8,9.8,4.3,11.8,0,1002.7
0,81,1004.5,11.4,5.4,12,0,1001.4
0,74,1003.1,11.8,7.4,14,0,1000
0,69,1001.4,11.3,6.8,14.4,0.2,998.3
0,69,1000.9,12,3.8,15.3,0.3,997.8
0,59,1000.1,10.9,1.9,16.3,0.5,997
0,57,999.5,10.1,2.2,15.6,0.3,996.4
0,48,998.7,8.1,3.1,14.8,0.2,995.6
0,73,998.4,10.5,1.8,12.4,0,995.3
2,70,1000.1,8.5,10.7,9.8,0,997
0.5,72,1001.1,7.4,7,7.3,0,997.9
0.5,68,1001.2,6.5,5.8,6.3,0,998
0,64,1001.2,6.1,4.9,6.3,0,998
0.5,65,1001.8,5.8,4.8,5.3,0,998.6
0,68,1002.7,5.9,7.5,4.8,0,999.5
3,73,1002.5,6.1,7.6,4.5,0,999.3
1,75,1003.3,6.2,9.2,4.2,0,1000.1
5,79,1004.1,6.6,12.9,4.3,0,1000.9
3,77,1005.1,6.4,13.1,4.4,0,1001.9
1,77,1006.3,6.5,14.3,4.6,0,1003.1
1,73,1007.2,6.4,12.6,5.1,0,1004
1.5,76,1008.9,5.9,13.9,3.3,0,1005.6
1.5,76,1009.7,6.1,10.1,3.8,0,1006.5
0.5,56,1009.7,5.2,6.8,5.8,0.2,1006.5
0.5,51,1009.6,4.8,10.7,6,0.3,1006.4
0,59,1009.9,5.1,9.8,5,0.5,1006.7
0.5,73,1009.9,5.8,10.1,3.6,0.1,1006.6
0.5,81,1009.8,6.1,6.6,2.8,0.1,1006.5
3,86,1009.8,6,5.3,1.9,0,1006.5
1,70,1010.4,5.6,10.4,3.7,0,1007.1
0,61,1010.9,5,7.5,4.1,0,1007.7
0.5,69,1011.5,5.6,8.7,4,0,1008.2
0.5,75,1012.1,5.6,13,2.8,0,1008.8
0.5,78,1012.7,6.1,6.2,3.5,0,1009.4
0.5,55,1012.8,4.7,7.5,4.7,0,1009.6
0.5,55,1013.2,4.8,8.2,5,0,1010
0,47,1013.7,4.2,10.5,5.5,0,1010.5
0.5,46,1014,4.2,7.9,5.8,0,1010.8
0,41,1014.6,3.9,10.8,6.1,0,1011.4
