kousui,sitsudo,kaimen kiatsu,jyouki,wspeed,kion,nissyou,kiatsu
0,72,1023.3,9.3,1.4,10.7,0,1020.1
0,75,1023.6,9.1,1.2,9.8,0,1020.4
0,79,1023.6,9.3,1,9.3,0,1020.4
0,82,1023.5,9.4,1.2,8.9,0,1020.3
0,80,1023.5,8.8,0.8,8.3,0,1020.3
0,83,1023.7,8.8,0.6,7.8,0,1020.5
0,82,1024,8.3,0.1,7.2,0,1020.7
0,83,1024,8.4,0.8,7.2,0,1020.7
0,83,1024.2,8.3,0.9,7,0,1020.9
0,84,1024.1,8.4,0.8,6.9,0,1020.8
0,78,1024,8,1.2,7.3,0.1,1020.7
0,75,1024,8.2,1.5,8.2,1,1020.8
0,67,1024.2,8.6,0.8,10.7,1,1021
0,55,1023.9,8.6,2.6,13.6,1,1020.7
0,53,1023.6,9.4,2.4,15.6,1,1020.4
0,48,1022.9,9.1,3.1,16.6,1,1019.8
0,47,1022.2,9.5,1.9,17.7,1,1019.1
0,45,1021.7,9.4,1.5,18.2,1,1018.6
0,44,1021.6,9.5,2.7,18.8,1,1018.5
0,43,1021.7,8.8,2.9,17.8,1,1018.6
0,46,1021.9,8.9,3.3,17,1,1018.8
0,52,1022.4,9.2,4.4,15.5,0.6,1019.3
0,62,1022.8,10,1.3,14.2,0,1019.6
0,70,1022.8,10.3,1.9,12.7,0,1019.6
0,71,1023.1,10.4,1.3,12.6,0,1019.9
0,75,1023,10.2,0.6,11.5,0,1019.8
0,80,1022.9,10.5,1,11,0,1019.7
0,81,1022.6,10.3,0.9,10.5,0,1019.4
0,85,1022.4,10.4,0.9,9.9,0,1019.2
0,86,1022.8,10.2,1,9.5,0,1019.6
0,87,1022.7,10.1,0.6,9.1,0,1019.5
0,82,1022.7,9.4,1.4,9,0,1019.5
0,84,1022.8,9.1,0.6,8.1,0,1019.6
0,86,1022.8,9.2,0.9,7.9,0,1019.6
0,85,1022.9,9.1,0.6,8,0,1019.7
0,83,1023.2,9.8,0,9.4,1,1020
0,72,1023.4,9.8,1,11.5,1,1020.2
0,64,1022.9,10.2,0.7,13.9,1,1019.7
0,57,1022.1,11.1,3.3,17.1,1,1019
0,52,1021.6,10.4,3.6,17.5,1,1018.5
0,49,1020.4,10.6,3.8,18.8,1,1017.3
0,52,1019.5,11,5.1,18.4,1,1016.4
0,56,1019,11.9,6.6,18.4,1,1015.9
0,54,1018.6,11.4,4.6,18.4,1,1015.5
0,57,1018.3,11.6,6.1,17.8,1,1015.2
0,62,1018,12,6.2,17,0.7,1014.9
0,62,1017.8,11.7,3.8,16.6,0,1014.7
0,63,1017.6,11.8,4.2,16.5,0,1014.5
0,55,1017.3,9.8,3.7,15.7,0,1014.2
0,55,1017,9,2.8,14.3,0,1013.9
0,58,1016.6,9.1,2.3,13.7,0,1013.4
0,62,1015.6,9.1,0.7,12.7,0,1012.4
0,70,1015,9.4,0.4,11.3,0,1011.8
0,68,1013.9,9.4,0.9,11.8,0,1010.7
0,69,1012.6,9.2,1,11.2,0,1009.4
0,69,1011.6,9.1,0.9,11,0,1008.4
0,54,1010.5,7.7,4.4,12.3,0,1007.4
0,52,1009.4,7.4,5.1,12.3,0,1006.3
0,53,1008.4,7.8,8,12.8,0,1005.3
0,50,1007.7,7.6,7.1,13.2,0,1004.6
0,50,1005.9,7.8,10.3,13.6,0,1002.8
0,59,1004.2,8.6,8.6,12.6,0,1001.1
0.5,70,1001.9,9.8,8,11.9,0,998.8
0.5,72,999.9,10.2,12.7,12.1,0,996.8
1,76,997.5,10.3,13.2,11.5,0,994.4
0,74,996.1,10.2,14,11.8,0,993
1.5,79,994.7,10.7,12.2,11.5,0,991.6
1,78,994.1,10.4,15,11.2,0,991
1,78,993.3,10.5,14.4,11.4,0,990.2
2.5,81,992.6,10.6,14.3,10.9,0,989.5
2.5,78,992.2,10,13.1,10.7,0,989.1
1,81,991.4,10.6,12,11,0,988.3
0.5,75,990.7,10,12.8,11.2,0,987.6
0.5,78,990.3,10.4,11.1,11.2,0,987.2
